url,team_name
https://www.vlr.gg/team/10376/bon-bon-bum-contra,bon bon bum contra
https://www.vlr.gg/team/11621/overlooked-entertainment,overlooked entertainment
https://www.vlr.gg/team/10184/evolution-gaming,evolution gaming
https://www.vlr.gg/team/9975/st-clair-saints-varsity,st. clair saints varsity
https://www.vlr.gg/team/6729/levitate,levitate
https://www.vlr.gg/team/9679/wtp,wtp
https://www.vlr.gg/team/952/team-flux,team flux
https://www.vlr.gg/team/10182/final-form,final form
https://www.vlr.gg/team/11845/feel-the-wood,feel the wood
https://www.vlr.gg/team/9902/crwnsports,crwnsports
https://www.vlr.gg/team/4816/genz,genz
https://www.vlr.gg/team/9397/donoobs,donoobs
https://www.vlr.gg/team/10086/converse-purple,converse purple
https://www.vlr.gg/team/9533/georgia-tech,georgia tech
https://www.vlr.gg/team/6782/up-next,up next
https://www.vlr.gg/team/9558/oc-esports,oc esports
https://www.vlr.gg/team/7716/edo-tensei,edo tensei
https://www.vlr.gg/team/11046/gengar-gang,gengar gang
https://www.vlr.gg/team/10087/team-digital,team digital
https://www.vlr.gg/team/10720/otf,otf
https://www.vlr.gg/team/11951/team-karma,team karma
https://www.vlr.gg/team/2785/tamu-maroon,tamu maroon
https://www.vlr.gg/team/10090/the-11,the 11
https://www.vlr.gg/team/9554/ignite-beyond,ignite beyond 
https://www.vlr.gg/team/2472/akuma-esports-black,akuma esports black
https://www.vlr.gg/team/11966/finalformhq,finalformhq
https://www.vlr.gg/team/9775/olympus-gaming,olympus gaming
https://www.vlr.gg/team/9638/vanguard-gaming,vanguard gaming
https://www.vlr.gg/team/11648/rose,rose
https://www.vlr.gg/team/10978/realism-esports,realism esports
https://www.vlr.gg/team/9464/egirl-enthusiasts,egirl enthusiasts
https://www.vlr.gg/team/11272/disciples,disciples
https://www.vlr.gg/team/9502/not-close,not close
https://www.vlr.gg/team/5457/valkyrie,valkyrie
https://www.vlr.gg/team/7862/new-moon,new moon
https://www.vlr.gg/team/9698/dong,d'ong
https://www.vlr.gg/team/6200/complexity-gx3,complexity gx3
https://www.vlr.gg/team/8472/ten-5,ten-5
https://www.vlr.gg/team/9991/tenax,tenax
https://www.vlr.gg/team/10155/pfluxuate,pfluxuate
https://www.vlr.gg/team/6960/clicken-chickens,clicken chickens
https://www.vlr.gg/team/9387/chicago-nightpack,chicago nightpack
https://www.vlr.gg/team/8935/little-legends,little legends
https://www.vlr.gg/team/8601/tone-gaming,tone gaming
https://www.vlr.gg/team/9417/nothink,nothink
https://www.vlr.gg/team/8598/the-swarm,the swarm
https://www.vlr.gg/team/6912/moonrise,moonrise
https://www.vlr.gg/team/10178/endure-black,endure black
https://www.vlr.gg/team/10971/ryz-knights,ryz knights
https://www.vlr.gg/team/4692/horizongg,horizongg
https://www.vlr.gg/team/9457/tsg-esports,tsg esports
https://www.vlr.gg/team/9998/royalty-forgotten,royalty forgotten
https://www.vlr.gg/team/11362/corn-flakes,corn flakes
https://www.vlr.gg/team/11204/fxp-esports,fxp esports
https://www.vlr.gg/team/9088/fusillade,fusillade
https://www.vlr.gg/team/9697/tetraesportsgg,tetraesportsgg
https://www.vlr.gg/team/9379/psych-ward,psych ward
https://www.vlr.gg/team/5603/ahjin,ahjin
https://www.vlr.gg/team/9175/kaiju-corp,kaiju corp
https://www.vlr.gg/team/9695/stasis-red,stasis red
https://www.vlr.gg/team/9689/team-flux-academy,team flux academy
https://www.vlr.gg/team/8260/mach5,mach5
https://www.vlr.gg/team/10370/chosen-1s,chosen 1s
https://www.vlr.gg/team/10717/chicago-empyre,chicago empyre
https://www.vlr.gg/team/7049/rated-gaming,rated gaming
https://www.vlr.gg/team/8977/romi-n-frends,romi n frends
https://www.vlr.gg/team/9992/centurion,centurion
https://www.vlr.gg/team/9500/diplomax-gaming,diplomax gaming
https://www.vlr.gg/team/4260/aftermath-esports,aftermath esports
https://www.vlr.gg/team/9306/nbks-mercenaries,nbks mercenaries
https://www.vlr.gg/team/9021/bhop-esports,bhop esports
https://www.vlr.gg/team/9384/butterfly-effect,butterfly effect
https://www.vlr.gg/team/8972/team-omega,team omega
https://www.vlr.gg/team/8614/mizzou-esports,mizzou esports
https://www.vlr.gg/team/9196/kanpekis-kittens,kanpekis kittens
https://www.vlr.gg/team/8547/pariah,pariah
https://www.vlr.gg/team/9513/escape-velocity,escape velocity
https://www.vlr.gg/team/8731/panda-party,panda party
https://www.vlr.gg/team/8613/rillas,rillas
https://www.vlr.gg/team/10718/operation-strix,operation strix
https://www.vlr.gg/team/9976/nix,nix 
https://www.vlr.gg/team/9633/team-kraken,team kraken
https://www.vlr.gg/team/9252/legion,legion
https://www.vlr.gg/team/7865/medics,medics
https://www.vlr.gg/team/9510/spades-black,spades black
https://www.vlr.gg/team/9072/x13,x13
https://www.vlr.gg/team/8327/syr,syr
https://www.vlr.gg/team/9630/bkny-myst,bkny myst
https://www.vlr.gg/team/8476/ugly-hamsters,ugly hamsters
https://www.vlr.gg/team/9483/ast-ri-7,astéri 7
https://www.vlr.gg/team/11854/noxious,noxious
https://www.vlr.gg/team/6241/godset,godset
https://www.vlr.gg/team/5810/last-resistance,last resistance
